event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,hour
2019-11-01 00:00:00+00:00,view,1003461,2053013555631882655,electronics.smartphone,xiaomi,489.07,520088904,4d3b30da-a5e4-49df-b1a8-ba5943f1dd33,0
2019-11-01 00:00:00+00:00,view,5000088,2053013566100866035,appliances.sewing_machine,janome,293.65,530496790,8e5f4f83-366c-4f70-860e-ca7417414283,0
2019-11-01 00:00:01+00:00,view,17302664,2053013553853497655,appliances.sewing_machine,creed,28.31,561587266,755422e7-9040-477b-9bd2-6a6e8fd97387,0
2019-11-01 00:00:01+00:00,view,3601530,2053013563810775923,appliances.kitchen.washer,lg,712.87,518085591,3bfb58cd-7892-48cc-8020-2f17e6de6e7f,0
2019-11-01 00:00:01+00:00,view,1004775,2053013555631882655,electronics.smartphone,xiaomi,183.27,558856683,313628f1-68b8-460d-84f6-cec7a8796ef2,0
2019-11-01 00:00:01+00:00,view,1306894,2053013558920217191,computers.notebook,hp,360.09,520772685,816a59f3-f5ae-4ccd-9b23-82aa8c23d33c,0
2019-11-01 00:00:01+00:00,view,1306421,2053013558920217191,computers.notebook,hp,514.56,514028527,df8184cc-3694-4549-8c8c-6b5171877376,0
2019-11-01 00:00:02+00:00,view,15900065,2053013558190408249,computers.notebook,rondell,30.86,518574284,5e6ef132-4d7c-4730-8c7f-85aa4082588f,0
2019-11-01 00:00:02+00:00,view,12708937,2053013553559896355,computers.notebook,michelin,72.72,532364121,0a899268-31eb-46de-898d-09b2da950b24,0
2019-11-01 00:00:02+00:00,view,1004258,2053013555631882655,electronics.smartphone,apple,732.07,532647354,d2d3d2c6-631d-489e-9fb5-06f340b85be0,0
2019-11-01 00:00:03+00:00,view,17200570,2053013559792632471,furniture.living_room.sofa,apple,437.33,518780843,aa806835-b14c-45af-9538-cd4d1849be3e,0
2019-11-01 00:00:03+00:00,view,2701517,2053013563911439225,appliances.kitchen.refrigerators,apple,155.11,518427361,c89b0d96-247f-4044-9c91-bb5f38c6af9b,0
2019-11-01 00:00:03+00:00,view,16700260,2053013559901684381,furniture.kitchen.chair,apple,31.64,566255262,173d7b72-1db7-4638-8207-be8148bf3c9f,0
2019-11-01 00:00:04+00:00,view,34600011,2060981320581906480,furniture.kitchen.chair,apple,20.54,512416379,4dfe2c67-e537-4dc2-ae69-0b65263db091,0
